# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.0.0 Build 614 04/24/2018 SJ Standard Edition
# File: C:\Users\denis\Documents\Github\processador\Processador.csv
# Generated on: Fri Jun 15 19:12:45 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
clock_auto,Unknown,PIN_Y2,2,B2_N0,,,,,,
reset,Unknown,PIN_M23,6,B6_N2,,,,,,
botaoEntrada,Unknown,PIN_M21,6,B6_N1,,,,,,
botaoSaida,Unknown,PIN_N21,6,B6_N2,,,,,,
dadosExternos[15],Unknown,PIN_AA22,5,B5_N2,,,,,,
dadosExternos[14],Unknown,PIN_AA23,5,B5_N2,,,,,,
dadosExternos[13],Unknown,PIN_AA24,5,B5_N2,,,,,,
dadosExternos[12],Unknown,PIN_AB23,5,B5_N2,,,,,,
dadosExternos[11],Unknown,PIN_AB24,5,B5_N2,,,,,,
dadosExternos[10],Unknown,PIN_AC24,5,B5_N2,,,,,,
dadosExternos[9],Unknown,PIN_AB25,5,B5_N1,,,,,,
dadosExternos[8],Unknown,PIN_AC25,5,B5_N2,,,,,,
dadosExternos[7],Unknown,PIN_AB26,5,B5_N1,,,,,,
dadosExternos[6],Unknown,PIN_AD26,5,B5_N2,,,,,,
dadosExternos[5],Unknown,PIN_AC26,5,B5_N2,,,,,,
dadosExternos[4],Unknown,PIN_AB27,5,B5_N1,,,,,,
dadosExternos[3],Unknown,PIN_AD27,5,B5_N2,,,,,,
dadosExternos[2],Unknown,PIN_AC27,5,B5_N2,,,,,,
dadosExternos[1],Unknown,PIN_AC28,5,B5_N2,,,,,,
dadosExternos[0],Unknown,PIN_AB28,5,B5_N1,,,,,,
display0[6],Unknown,PIN_AA17,4,B4_N1,,,,,,
display0[5],Unknown,PIN_AB16,4,B4_N2,,,,,,
display1[6],Unknown,PIN_AD17,4,B4_N2,,,,,,
display1[5],Unknown,PIN_AE17,4,B4_N2,,,,,,
display1[4],Unknown,PIN_AG17,4,B4_N2,,,,,,
display1[3],Unknown,PIN_AH17,4,B4_N2,,,,,,
display1[2],Unknown,PIN_AF17,4,B4_N2,,,,,,
display1[1],Unknown,PIN_AG18,4,B4_N2,,,,,,
display1[0],Unknown,PIN_AA14,3,B3_N0,,,,,,
display0[4],Unknown,PIN_AA16,4,B4_N2,,,,,,
display0[3],Unknown,PIN_AB17,4,B4_N1,,,,,,
display0[2],Unknown,PIN_AB15,4,B4_N2,,,,,,
display0[1],Unknown,PIN_AA15,4,B4_N2,,,,,,
display0[0],Unknown,PIN_AC17,4,B4_N2,,,,,,
display2[6],Unknown,PIN_AB19,4,B4_N0,,,,,,
display2[5],Unknown,PIN_AA19,4,B4_N0,,,,,,
display2[4],Unknown,PIN_AG21,4,B4_N2,,,,,,
display2[3],Unknown,PIN_AH21,4,B4_N2,,,,,,
display2[2],Unknown,PIN_AE19,4,B4_N1,,,,,,
display2[1],Unknown,PIN_AF19,4,B4_N1,,,,,,
display2[0],Unknown,PIN_AE18,4,B4_N2,,,,,,
display3[6],Unknown,PIN_AD18,4,B4_N1,,,,,,
display3[5],Unknown,PIN_AC18,4,B4_N1,,,,,,
display3[4],Unknown,PIN_AB18,4,B4_N0,,,,,,
display3[3],Unknown,PIN_AH19,4,B4_N2,,,,,,
display3[2],Unknown,PIN_AG19,4,B4_N2,,,,,,
display3[1],Unknown,PIN_AF18,4,B4_N1,,,,,,
display3[0],Unknown,PIN_AH18,4,B4_N2,,,,,,
display4[6],Unknown,PIN_G18,7,B7_N2,,,,,,
display4[5],Unknown,PIN_F22,7,B7_N0,,,,,,
display4[4],Unknown,PIN_E17,7,B7_N2,,,,,,
display4[3],Unknown,PIN_L26,6,B6_N1,,,,,,
display4[2],Unknown,PIN_L25,6,B6_N1,,,,,,
display4[1],Unknown,PIN_J22,6,B6_N0,,,,,,
display4[0],Unknown,PIN_H22,6,B6_N0,,,,,,
display5[6],Unknown,PIN_M24,6,B6_N2,,,,,,
